url_path,views_total,views_unique
/Create-Node-App/cna-templates/tree/main/templates,11,2
/Create-Node-App/cna-templates,9,6
/Create-Node-App/cna-templates/tree/main/templates/wdio-starter,9,1
/Create-Node-App/cna-templates/pull/55,8,2
/Create-Node-App/cna-templates/blob/main/templates/wdio-starter/package.json,8,1
/Create-Node-App/cna-templates/tree/main/extensions/all-husky-lint-staged/.husky,6,1
/Create-Node-App/cna-templates/pull/55/files,5,2
/Create-Node-App/cna-templates/pull/48,5,1
/Create-Node-App/cna-templates/blob/main/extensions/all-husky-lint-staged/package.json,4,1
/Create-Node-App/cna-templates/tree/main/extensions/all-husky-lint-staged,4,1
