time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-27 00:00:00+00:00,359,42,3,2
2026-07-28 00:00:00+00:00,79,30,3,2
2026-07-29 00:00:00+00:00,31,30,1,1
2026-07-30 00:00:00+00:00,31,31,1,1
2026-07-31 00:00:00+00:00,2,2,0,0
2026-08-01 00:00:00+00:00,17,17,3,2
2026-08-02 00:00:00+00:00,95,1,0,0
2026-08-03 00:00:00+00:00,6,5,1,1
2026-08-04 00:00:00+00:00,36,6,0,0
2026-08-05 00:00:00+00:00,32,9,2,1
2026-08-06 00:00:00+00:00,2146,122,48,3
2026-08-07 00:00:00+00:00,6,6,4,3
2026-08-08 00:00:00+00:00,101,72,0,0
2026-08-09 00:00:00+00:00,101,6,0,0
