time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-10-27 00:00:00+00:00,2,2,41,1
2023-10-28 00:00:00+00:00,0,0,12,1
2023-10-29 00:00:00+00:00,2,2,0,0
2023-10-30 00:00:00+00:00,7,5,18,1
2023-10-31 00:00:00+00:00,4,3,11,2
2023-11-01 00:00:00+00:00,2,1,2,2
2023-11-02 00:00:00+00:00,2,2,0,0
2023-11-04 00:00:00+00:00,3,3,1,1
2023-11-05 00:00:00+00:00,1,1,2,1
2023-11-06 00:00:00+00:00,5,4,0,0
2023-11-08 00:00:00+00:00,1,1,1,1
2023-11-09 00:00:00+00:00,1,1,0,0
2023-11-10 00:00:00+00:00,2,2,27,2
2023-11-11 00:00:00+00:00,4,3,0,0
2023-11-12 00:00:00+00:00,2,2,5,1
2023-11-13 00:00:00+00:00,1,1,40,2
2023-11-15 00:00:00+00:00,4,4,0,0
