url_path,views_total,views_unique
/Create-Node-App/create-node-app,107,74
/Create-Node-App/create-node-app/tree/main/packages,49,12
/Create-Node-App/create-node-app/tree/main/packages/create-awesome-node-app,34,9
/Create-Node-App/create-node-app/tree/main/packages/eslint-config-ts,22,5
/Create-Node-App/create-node-app/blob/main/packages/eslint-config-ts/index.js,20,2
/Create-Node-App/create-node-app/tree/main/packages/create-node-app-core,19,3
/Create-Node-App/create-node-app/blob/main/packages/create-node-app-core/package.json,14,2
/Create-Node-App/create-node-app/blob/main/packages/eslint-config-ts/package.json,14,2
/Create-Node-App/create-node-app/blob/main/packages/create-node-app-core/.eslintrc,14,1
/Create-Node-App/create-node-app/blob/main/package.json,13,5
