time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-09-10 00:00:00+00:00,439,50,19,18
2026-09-11 00:00:00+00:00,60,23,8,4
2026-09-12 00:00:00+00:00,47,14,7,3
2026-09-13 00:00:00+00:00,31,4,13,4
2026-09-14 00:00:00+00:00,37,5,3,3
2026-09-15 00:00:00+00:00,237,29,10,5
2026-09-16 00:00:00+00:00,48,11,8,5
2026-09-17 00:00:00+00:00,195,29,7,2
2026-09-18 00:00:00+00:00,56,20,2,2
2026-09-19 00:00:00+00:00,47,6,2,1
2026-09-20 00:00:00+00:00,31,3,2,2
2026-09-21 00:00:00+00:00,35,3,5,2
2026-09-22 00:00:00+00:00,30,2,5,5
2026-09-23 00:00:00+00:00,31,2,2,2
