time_iso8601,stars_cumulative
2020-10-08 00:00:00+00:00,1
2021-06-17 00:00:00+00:00,3
2021-06-22 00:00:00+00:00,4
2022-04-22 00:00:00+00:00,5
2022-06-03 00:00:00+00:00,6
2023-04-05 00:00:00+00:00,7
2023-04-08 00:00:00+00:00,14
2023-04-09 00:00:00+00:00,16
2023-04-10 00:00:00+00:00,17
2023-04-11 00:00:00+00:00,19
2023-04-12 00:00:00+00:00,20
2023-04-13 00:00:00+00:00,21
2023-07-11 00:00:00+00:00,22
2023-09-14 00:00:00+00:00,23
2023-09-30 00:00:00+00:00,24
2023-10-05 00:00:00+00:00,25
2023-10-13 00:00:00+00:00,26
2023-10-17 00:00:00+00:00,33
2023-10-24 00:00:00+00:00,34
2023-10-25 00:00:00+00:00,35
2023-10-29 00:00:00+00:00,36
2023-10-31 00:00:00+00:00,37
2023-11-29 00:00:00+00:00,38
2023-12-07 00:00:00+00:00,39
2023-12-25 00:00:00+00:00,40
2023-12-26 00:00:00+00:00,41
2024-01-10 00:00:00+00:00,42
2024-02-05 00:00:00+00:00,43
2024-02-12 00:00:00+00:00,44
2024-02-16 00:00:00+00:00,45
2024-02-17 00:00:00+00:00,46
2024-02-19 00:00:00+00:00,47
2024-03-03 00:00:00+00:00,48
2024-03-27 00:00:00+00:00,51
2024-04-05 00:00:00+00:00,52
2024-04-07 00:00:00+00:00,53
2024-04-10 00:00:00+00:00,54
2024-04-25 00:00:00+00:00,55
2024-04-30 00:00:00+00:00,57
