time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-10-26 00:00:00+00:00,8,1,9,7
2023-10-27 00:00:00+00:00,12,3,76,6
2023-10-28 00:00:00+00:00,14,3,24,3
2023-10-29 00:00:00+00:00,8,1,4,4
2023-10-30 00:00:00+00:00,12,3,20,10
2023-10-31 00:00:00+00:00,8,1,29,6
2023-11-01 00:00:00+00:00,9,2,10,4
2023-11-02 00:00:00+00:00,9,2,5,4
2023-11-03 00:00:00+00:00,9,2,18,7
2023-11-04 00:00:00+00:00,8,1,11,7
2023-11-05 00:00:00+00:00,8,1,12,4
2023-11-06 00:00:00+00:00,9,2,26,7
2023-11-07 00:00:00+00:00,12,3,12,8
2023-11-08 00:00:00+00:00,8,1,67,11
2023-11-09 00:00:00+00:00,8,1,10,7
