time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-31 00:00:00+00:00,55,5,4,2
2026-08-01 00:00:00+00:00,54,7,30,1
2026-08-02 00:00:00+00:00,488,42,31,2
2026-08-03 00:00:00+00:00,1025,65,136,8
2026-08-04 00:00:00+00:00,88,15,54,4
2026-08-05 00:00:00+00:00,166,11,29,4
2026-08-06 00:00:00+00:00,605,36,89,5
2026-08-07 00:00:00+00:00,8,6,30,3
2026-08-08 00:00:00+00:00,4,3,2,1
2026-08-09 00:00:00+00:00,86,29,13,2
2026-08-10 00:00:00+00:00,300,44,30,4
2026-08-11 00:00:00+00:00,3,2,3,2
2026-08-12 00:00:00+00:00,3,2,2,2
2026-08-13 00:00:00+00:00,18,15,23,5
