time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-18 00:00:00+00:00,576,169,26,5
2026-07-19 00:00:00+00:00,50,6,0,0
2026-07-20 00:00:00+00:00,22,19,10,3
2026-07-21 00:00:00+00:00,3,3,7,1
2026-07-22 00:00:00+00:00,603,140,5,2
2026-07-23 00:00:00+00:00,117,74,48,3
2026-07-24 00:00:00+00:00,110,66,47,5
2026-07-25 00:00:00+00:00,5,4,1,1
2026-07-26 00:00:00+00:00,55,5,4,1
2026-07-27 00:00:00+00:00,340,33,36,4
2026-07-28 00:00:00+00:00,276,30,32,4
2026-07-29 00:00:00+00:00,6,5,4,1
2026-07-30 00:00:00+00:00,17,14,5,1
2026-07-31 00:00:00+00:00,55,5,4,2
2026-08-01 00:00:00+00:00,54,7,30,1
2026-08-02 00:00:00+00:00,488,42,31,2
2026-08-03 00:00:00+00:00,1025,65,136,8
2026-08-04 00:00:00+00:00,88,15,54,4
2026-08-05 00:00:00+00:00,166,11,29,4
2026-08-06 00:00:00+00:00,605,36,89,5
2026-08-07 00:00:00+00:00,8,6,30,3
2026-08-08 00:00:00+00:00,4,3,2,1
2026-08-09 00:00:00+00:00,86,29,13,2
2026-08-10 00:00:00+00:00,300,44,30,4
2026-08-11 00:00:00+00:00,3,2,3,2
2026-08-12 00:00:00+00:00,3,2,2,2
2026-08-13 00:00:00+00:00,18,15,23,5
2026-08-14 00:00:00+00:00,10,8,0,0
2026-08-15 00:00:00+00:00,5,4,0,0
2026-08-16 00:00:00+00:00,269,10,2,2
2026-08-17 00:00:00+00:00,531,23,2,2
2026-08-18 00:00:00+00:00,4,3,4,1
2026-08-19 00:00:00+00:00,20,9,2,1
2026-08-20 00:00:00+00:00,45,30,4,3
2026-08-21 00:00:00+00:00,5,4,2,2
2026-08-22 00:00:00+00:00,13,2,7,7
2026-08-23 00:00:00+00:00,1148,51,0,0
2026-08-24 00:00:00+00:00,462,46,0,0
2026-08-25 00:00:00+00:00,201,10,0,0
2026-08-26 00:00:00+00:00,121,6,0,0
2026-08-27 00:00:00+00:00,13,11,1,1
2026-08-28 00:00:00+00:00,8,8,0,0
2026-08-29 00:00:00+00:00,45,23,0,0
