url_path,views_total,views_unique
/Create-Python-App/create-python-app,16,4
/Create-Python-App/create-python-app/pulls,5,2
/Create-Python-App/create-python-app/issues,4,2
/Create-Python-App/create-python-app/issues/248,3,2
/Create-Python-App/create-python-app/issues/249,2,2
/Create-Python-App/create-python-app/actions/runs/30072466713/job/89416023619,2,1
/Create-Python-App/create-python-app/issues/247,2,1
/Create-Python-App/create-python-app/pull/257,2,1
/Create-Python-App/create-python-app/actions/runs/30072466679/job/89416026350,1,1
/Create-Python-App/create-python-app/actions/workflows/lint.yml,1,1
