time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-22 00:00:00+00:00,13,2,0,0
2026-08-23 00:00:00+00:00,12,1,1,1
2026-08-24 00:00:00+00:00,50,13,1,1
2026-08-25 00:00:00+00:00,16,5,5,1
2026-08-26 00:00:00+00:00,16,3,0,0
2026-08-27 00:00:00+00:00,23,3,0,0
2026-08-28 00:00:00+00:00,16,11,1,1
2026-08-29 00:00:00+00:00,191,17,0,0
2026-08-30 00:00:00+00:00,34,7,3,1
2026-08-31 00:00:00+00:00,42,5,0,0
2026-09-01 00:00:00+00:00,16,3,2,1
2026-09-02 00:00:00+00:00,15,4,7,1
2026-09-03 00:00:00+00:00,25,4,0,0
2026-09-04 00:00:00+00:00,12,1,0,0
