time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-18 00:00:00+00:00,383,86,40,30
2026-07-19 00:00:00+00:00,6,5,0,0
2026-07-20 00:00:00+00:00,51,12,2,2
2026-07-21 00:00:00+00:00,6,4,3,2
2026-07-22 00:00:00+00:00,338,68,2,1
2026-07-23 00:00:00+00:00,133,29,3,3
2026-07-24 00:00:00+00:00,108,23,25,3
2026-07-25 00:00:00+00:00,12,1,1,1
2026-07-26 00:00:00+00:00,14,3,2,2
2026-07-27 00:00:00+00:00,15,3,1,1
2026-07-28 00:00:00+00:00,62,23,3,1
2026-07-29 00:00:00+00:00,12,1,0,0
2026-07-30 00:00:00+00:00,32,4,2,2
2026-07-31 00:00:00+00:00,15,2,4,1
2026-08-01 00:00:00+00:00,15,4,1,1
2026-08-02 00:00:00+00:00,12,1,0,0
2026-08-03 00:00:00+00:00,14,2,0,0
2026-08-04 00:00:00+00:00,15,4,0,0
2026-08-05 00:00:00+00:00,13,2,0,0
2026-08-06 00:00:00+00:00,30,11,2,1
2026-08-07 00:00:00+00:00,33,16,6,1
2026-08-08 00:00:00+00:00,15,4,0,0
2026-08-09 00:00:00+00:00,29,4,9,1
2026-08-10 00:00:00+00:00,14,2,0,0
2026-08-11 00:00:00+00:00,13,2,0,0
2026-08-12 00:00:00+00:00,13,2,0,0
2026-08-13 00:00:00+00:00,43,10,0,0
2026-08-14 00:00:00+00:00,21,3,0,0
2026-08-15 00:00:00+00:00,13,2,0,0
2026-08-16 00:00:00+00:00,12,1,0,0
2026-08-17 00:00:00+00:00,18,5,0,0
