time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-11-28 00:00:00+00:00,33,28,,
2025-11-29 00:00:00+00:00,30,23,,
2025-11-30 00:00:00+00:00,6,1,,
2025-12-01 00:00:00+00:00,358,92,,
2025-12-02 00:00:00+00:00,314,87,,
2025-12-03 00:00:00+00:00,896,196,1.0,1.0
2025-12-04 00:00:00+00:00,62,29,,
2025-12-05 00:00:00+00:00,76,53,2.0,2.0
2025-12-06 00:00:00+00:00,61,33,1.0,1.0
2025-12-07 00:00:00+00:00,69,31,,
2025-12-08 00:00:00+00:00,60,32,1.0,1.0
2025-12-09 00:00:00+00:00,50,31,2.0,1.0
2025-12-10 00:00:00+00:00,57,27,1.0,1.0
2025-12-11 00:00:00+00:00,6,1,1.0,1.0
