url_path,views_total,views_unique
/nanlabs/aws-glue-etl-boilerplate,13,8
/nanlabs/aws-glue-etl-boilerplate/blob/main/jobs/pyspark_hello_world.py,6,2
/nanlabs/aws-glue-etl-boilerplate/blob/main/jobs/pythonshell_hello_world.py,6,2
/nanlabs/aws-glue-etl-boilerplate/blob/main/resource/GlueResources.yml,6,1
/nanlabs/aws-glue-etl-boilerplate/blob/main/serverless.yml,6,1
/nanlabs/aws-glue-etl-boilerplate/blob/main/jobs/etl/load_documentdb.py,4,2
/nanlabs/aws-glue-etl-boilerplate/tree/main/jobs,4,2
/nanlabs/aws-glue-etl-boilerplate/blob/main/Pipfile,4,1
/nanlabs/aws-glue-etl-boilerplate/tree/main/local,3,1
/nanlabs/aws-glue-etl-boilerplate/tree/main/local/localstack,3,1
