time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-09-02 00:00:00+00:00,,,7.0,2.0
2024-09-03 00:00:00+00:00,,,3.0,2.0
2024-09-04 00:00:00+00:00,,,8.0,2.0
2024-09-05 00:00:00+00:00,,,2.0,1.0
2024-09-06 00:00:00+00:00,,,1.0,1.0
2024-09-07 00:00:00+00:00,1.0,1.0,1.0,1.0
2024-09-09 00:00:00+00:00,,,16.0,2.0
2024-09-11 00:00:00+00:00,1.0,1.0,12.0,2.0
2024-09-12 00:00:00+00:00,,,1.0,1.0
2024-09-13 00:00:00+00:00,,,8.0,2.0
2024-09-14 00:00:00+00:00,1.0,1.0,,
2024-09-15 00:00:00+00:00,,,1.0,1.0
