time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-10-26 00:00:00+00:00,13,7,132,7
2023-10-27 00:00:00+00:00,0,0,2,1
2023-10-28 00:00:00+00:00,3,3,0,0
2023-10-29 00:00:00+00:00,1,1,14,1
2023-10-30 00:00:00+00:00,6,4,26,2
2023-10-31 00:00:00+00:00,8,3,54,5
2023-11-01 00:00:00+00:00,3,2,2,2
2023-11-03 00:00:00+00:00,3,2,0,0
2023-11-04 00:00:00+00:00,2,2,0,0
2023-11-05 00:00:00+00:00,1,1,22,2
2023-11-06 00:00:00+00:00,3,2,9,2
2023-11-07 00:00:00+00:00,0,0,3,2
2023-11-08 00:00:00+00:00,6,4,60,4
2023-11-09 00:00:00+00:00,3,2,18,3
2023-11-10 00:00:00+00:00,2,2,5,4
2023-11-11 00:00:00+00:00,2,2,2,1
2023-11-13 00:00:00+00:00,2,2,1,1
2023-11-15 00:00:00+00:00,0,0,10,3
2023-11-16 00:00:00+00:00,0,0,23,3
2023-11-17 00:00:00+00:00,0,0,6,3
2023-11-18 00:00:00+00:00,1,1,0,0
2023-11-20 00:00:00+00:00,2,1,0,0
2023-11-21 00:00:00+00:00,3,3,0,0
2023-11-22 00:00:00+00:00,0,0,2,1
2023-11-23 00:00:00+00:00,0,0,5,1
2023-11-24 00:00:00+00:00,0,0,18,1
2023-11-25 00:00:00+00:00,1,1,0,0
2023-11-26 00:00:00+00:00,1,1,1,1
2023-11-27 00:00:00+00:00,6,3,100,4
2023-11-28 00:00:00+00:00,0,0,12,1
2023-11-29 00:00:00+00:00,17,8,55,3
2023-11-30 00:00:00+00:00,1,1,1,1
2023-12-02 00:00:00+00:00,3,2,0,0
