url_path,views_total,views_unique
/nanlabs/backend-reference/tree/main/examples/fastapi-crud/src,24,3
/nanlabs/backend-reference/tree/main/examples/fastapi-crud,16,3
/nanlabs/backend-reference,14,8
/nanlabs/backend-reference/pull/68,8,3
/nanlabs/backend-reference/blob/main/examples/fastapi-crud/src/exceptions/database_exceptions.py,8,1
/nanlabs/backend-reference/tree/main/examples/fastapi-crud/src/core,7,2
/nanlabs/backend-reference/tree/main/examples/fastapi-crud/src/controllers,7,1
/nanlabs/backend-reference/tree/main/examples/fastapi-crud/src/exceptions,7,1
/nanlabs/backend-reference/tree/main/examples,6,3
/nanlabs/backend-reference/tree/main/examples/fastapi-crud/src/db,5,1
