time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-22 00:00:00+00:00,4,1,2,2
2026-08-23 00:00:00+00:00,4,1,0,0
2026-08-24 00:00:00+00:00,5,2,0,0
2026-08-25 00:00:00+00:00,6,3,0,0
2026-08-26 00:00:00+00:00,7,2,2,2
2026-08-27 00:00:00+00:00,11,2,0,0
2026-08-28 00:00:00+00:00,6,3,0,0
2026-08-29 00:00:00+00:00,8,5,0,0
2026-08-30 00:00:00+00:00,4,1,1,1
2026-08-31 00:00:00+00:00,5,2,0,0
2026-09-01 00:00:00+00:00,6,1,4,1
2026-09-02 00:00:00+00:00,4,1,0,0
2026-09-03 00:00:00+00:00,28,7,1,1
2026-09-04 00:00:00+00:00,19,5,0,0
