time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-02-23 00:00:00+00:00,7,1,8.0,4.0
2024-02-24 00:00:00+00:00,6,1,,
2024-02-25 00:00:00+00:00,6,1,,
2024-02-26 00:00:00+00:00,8,3,32.0,6.0
2024-02-27 00:00:00+00:00,12,2,31.0,3.0
2024-02-28 00:00:00+00:00,8,3,33.0,2.0
2024-02-29 00:00:00+00:00,6,1,31.0,6.0
2024-03-01 00:00:00+00:00,8,2,18.0,3.0
2024-03-02 00:00:00+00:00,6,1,17.0,1.0
2024-03-03 00:00:00+00:00,6,1,17.0,2.0
2024-03-04 00:00:00+00:00,8,3,26.0,7.0
2024-03-05 00:00:00+00:00,6,1,4.0,2.0
2024-03-06 00:00:00+00:00,6,1,83.0,5.0
2024-03-07 00:00:00+00:00,7,2,17.0,4.0
