time_iso8601,stars_cumulative
2022-08-08 00:00:00+00:00,2
2022-08-09 00:00:00+00:00,4
2022-09-01 00:00:00+00:00,5
2022-09-29 00:00:00+00:00,6
2022-11-08 00:00:00+00:00,7
2022-11-11 00:00:00+00:00,8
2023-01-04 00:00:00+00:00,9
2023-02-07 00:00:00+00:00,12
2023-02-18 00:00:00+00:00,13
2023-02-24 00:00:00+00:00,15
2023-03-21 00:00:00+00:00,16
2023-04-04 00:00:00+00:00,17
2023-04-08 00:00:00+00:00,18
2023-04-13 00:00:00+00:00,19
2023-04-21 00:00:00+00:00,20
2023-05-18 00:00:00+00:00,21
2023-05-19 00:00:00+00:00,22
2023-05-29 00:00:00+00:00,23
2023-06-17 00:00:00+00:00,24
2023-09-07 00:00:00+00:00,25
2023-10-02 00:00:00+00:00,26
2023-10-17 00:00:00+00:00,33
2023-10-24 00:00:00+00:00,34
2023-10-28 00:00:00+00:00,35
2023-10-31 00:00:00+00:00,36
2024-01-06 00:00:00+00:00,37
2024-03-04 00:00:00+00:00,38
2024-03-06 00:00:00+00:00,39
2024-05-01 00:00:00+00:00,40
2024-06-03 00:00:00+00:00,41
