time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-07-04 00:00:00+00:00,4,1,194.0,3.0
2024-07-05 00:00:00+00:00,4,1,,
2024-07-06 00:00:00+00:00,5,1,1.0,1.0
2024-07-07 00:00:00+00:00,4,1,,
2024-07-08 00:00:00+00:00,4,1,,
2024-07-09 00:00:00+00:00,4,1,,
2024-07-10 00:00:00+00:00,4,1,1.0,1.0
2024-07-11 00:00:00+00:00,4,1,6.0,1.0
2024-07-12 00:00:00+00:00,4,1,5.0,2.0
2024-07-13 00:00:00+00:00,5,1,,
2024-07-14 00:00:00+00:00,4,1,,
2024-07-15 00:00:00+00:00,6,3,4.0,1.0
2024-07-16 00:00:00+00:00,4,1,,
2024-07-17 00:00:00+00:00,4,1,,
