time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-10-26 00:00:00+00:00,19,1,109,19
2023-10-27 00:00:00+00:00,13,6,129,12
2023-10-28 00:00:00+00:00,6,3,12,6
2023-10-29 00:00:00+00:00,4,1,7,4
2023-10-30 00:00:00+00:00,57,13,264,28
2023-10-31 00:00:00+00:00,15,2,48,7
2023-11-01 00:00:00+00:00,6,2,5,3
2023-11-02 00:00:00+00:00,5,2,4,2
2023-11-03 00:00:00+00:00,5,2,4,3
2023-11-04 00:00:00+00:00,6,2,0,0
2023-11-05 00:00:00+00:00,4,1,0,0
2023-11-06 00:00:00+00:00,6,3,4,2
2023-11-07 00:00:00+00:00,13,4,52,5
2023-11-08 00:00:00+00:00,4,1,2,1
2023-11-09 00:00:00+00:00,4,1,11,1
2023-11-10 00:00:00+00:00,5,2,45,2
2023-11-11 00:00:00+00:00,7,3,0,0
2023-11-12 00:00:00+00:00,4,1,21,3
2023-11-13 00:00:00+00:00,7,4,0,0
2023-11-14 00:00:00+00:00,4,1,22,3
2023-11-15 00:00:00+00:00,4,1,8,2
2023-11-16 00:00:00+00:00,4,1,0,0
2023-11-17 00:00:00+00:00,5,2,0,0
2023-11-18 00:00:00+00:00,5,1,7,1
2023-11-19 00:00:00+00:00,4,1,2,1
2023-11-20 00:00:00+00:00,7,4,0,0
2023-11-21 00:00:00+00:00,4,1,0,0
2023-11-22 00:00:00+00:00,14,5,21,3
2023-11-23 00:00:00+00:00,4,1,4,1
2023-11-24 00:00:00+00:00,4,1,0,0
2023-11-25 00:00:00+00:00,5,1,3,1
2023-11-26 00:00:00+00:00,5,2,0,0
2023-11-27 00:00:00+00:00,6,3,0,0
2023-11-28 00:00:00+00:00,4,1,0,0
2023-11-29 00:00:00+00:00,4,1,10,1
2023-11-30 00:00:00+00:00,4,1,0,0
2023-12-01 00:00:00+00:00,18,2,0,0
2023-12-02 00:00:00+00:00,5,1,0,0
2023-12-03 00:00:00+00:00,4,1,0,0
2023-12-04 00:00:00+00:00,6,3,1,1
2023-12-05 00:00:00+00:00,30,2,56,5
2023-12-06 00:00:00+00:00,12,4,23,5
