time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-05-02 00:00:00+00:00,9,1,13.0,1.0
2024-05-03 00:00:00+00:00,10,1,,
2024-05-04 00:00:00+00:00,9,2,,
2024-05-05 00:00:00+00:00,8,1,,
2024-05-06 00:00:00+00:00,9,2,,
2024-05-07 00:00:00+00:00,9,2,,
2024-05-08 00:00:00+00:00,8,1,1.0,1.0
2024-05-09 00:00:00+00:00,8,1,,
2024-05-10 00:00:00+00:00,10,2,,
2024-05-11 00:00:00+00:00,8,1,,
2024-05-12 00:00:00+00:00,8,1,1.0,1.0
2024-05-13 00:00:00+00:00,8,1,,
2024-05-14 00:00:00+00:00,8,1,23.0,1.0
2024-05-15 00:00:00+00:00,8,1,,
