time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-10-26 00:00:00+00:00,8,1,6,2
2023-10-27 00:00:00+00:00,9,1,4,1
2023-10-28 00:00:00+00:00,14,2,7,1
2023-10-29 00:00:00+00:00,8,1,8,3
2023-10-30 00:00:00+00:00,59,12,38,1
2023-10-31 00:00:00+00:00,8,1,21,1
2023-11-01 00:00:00+00:00,11,3,1,1
2023-11-02 00:00:00+00:00,9,2,9,4
2023-11-03 00:00:00+00:00,10,2,0,0
2023-11-04 00:00:00+00:00,8,1,0,0
2023-11-05 00:00:00+00:00,9,2,0,0
2023-11-06 00:00:00+00:00,9,2,0,0
2023-11-07 00:00:00+00:00,8,1,1,1
2023-11-08 00:00:00+00:00,8,1,3,1
2023-11-09 00:00:00+00:00,8,1,20,1
2023-11-10 00:00:00+00:00,9,1,0,0
2023-11-11 00:00:00+00:00,10,2,0,0
2023-11-12 00:00:00+00:00,9,2,0,0
2023-11-13 00:00:00+00:00,9,2,1,1
2023-11-14 00:00:00+00:00,8,1,0,0
2023-11-15 00:00:00+00:00,8,1,0,0
2023-11-16 00:00:00+00:00,8,1,0,0
2023-11-17 00:00:00+00:00,9,1,0,0
2023-11-18 00:00:00+00:00,8,1,0,0
2023-11-19 00:00:00+00:00,8,1,0,0
2023-11-20 00:00:00+00:00,8,1,0,0
2023-11-21 00:00:00+00:00,9,2,0,0
2023-11-22 00:00:00+00:00,8,1,0,0
2023-11-23 00:00:00+00:00,8,1,0,0
2023-11-24 00:00:00+00:00,9,1,0,0
2023-11-25 00:00:00+00:00,8,1,0,0
2023-11-26 00:00:00+00:00,8,1,0,0
2023-11-27 00:00:00+00:00,16,2,2,2
2023-11-28 00:00:00+00:00,9,2,0,0
2023-11-29 00:00:00+00:00,8,1,10,2
2023-11-30 00:00:00+00:00,8,1,0,0
2023-12-01 00:00:00+00:00,10,2,5,1
2023-12-02 00:00:00+00:00,8,1,0,0
2023-12-03 00:00:00+00:00,8,1,0,0
2023-12-04 00:00:00+00:00,11,4,0,0
2023-12-05 00:00:00+00:00,8,1,0,0
2023-12-06 00:00:00+00:00,9,2,0,0
2023-12-07 00:00:00+00:00,8,1,0,0
2023-12-08 00:00:00+00:00,10,2,0,0
2023-12-09 00:00:00+00:00,9,2,0,0
2023-12-10 00:00:00+00:00,8,1,0,0
2023-12-11 00:00:00+00:00,8,1,0,0
2023-12-12 00:00:00+00:00,8,1,0,0
2023-12-13 00:00:00+00:00,8,1,0,0
2023-12-14 00:00:00+00:00,10,2,0,0
2023-12-15 00:00:00+00:00,10,2,0,0
2023-12-16 00:00:00+00:00,8,1,0,0
2023-12-17 00:00:00+00:00,8,1,0,0
2023-12-18 00:00:00+00:00,8,1,0,0
2023-12-19 00:00:00+00:00,19,7,9,2
2023-12-20 00:00:00+00:00,8,1,4,2
2023-12-21 00:00:00+00:00,8,1,2,2
2023-12-22 00:00:00+00:00,10,2,45,1
2023-12-23 00:00:00+00:00,8,1,0,0
2023-12-24 00:00:00+00:00,8,1,0,0
2023-12-25 00:00:00+00:00,9,2,0,0
2023-12-26 00:00:00+00:00,8,1,0,0
2023-12-27 00:00:00+00:00,8,1,4,4
2023-12-28 00:00:00+00:00,10,2,0,0
2023-12-29 00:00:00+00:00,11,3,0,0
2023-12-30 00:00:00+00:00,11,3,0,0
2023-12-31 00:00:00+00:00,8,1,0,0
2024-01-01 00:00:00+00:00,10,2,0,0
2024-01-02 00:00:00+00:00,8,1,3,1
2024-01-03 00:00:00+00:00,8,1,0,0
2024-01-04 00:00:00+00:00,8,1,0,0
