time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-29 00:00:00+00:00,1,1,0,0
2026-08-30 00:00:00+00:00,3,3,1,1
2026-08-31 00:00:00+00:00,2,2,0,0
2026-09-01 00:00:00+00:00,94,8,0,0
2026-09-02 00:00:00+00:00,5,4,0,0
2026-09-03 00:00:00+00:00,50,41,11,2
2026-09-04 00:00:00+00:00,67,40,0,0
2026-09-05 00:00:00+00:00,3,3,2,1
2026-09-06 00:00:00+00:00,2,2,1,1
2026-09-07 00:00:00+00:00,0,0,0,0
2026-09-08 00:00:00+00:00,3,1,2,2
2026-09-09 00:00:00+00:00,0,0,1,1
2026-09-10 00:00:00+00:00,5,5,1,1
2026-09-11 00:00:00+00:00,258,41,4,4
