time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-08-21 00:00:00+00:00,,,1.0,1.0
2024-08-22 00:00:00+00:00,1.0,1.0,28.0,2.0
2024-08-23 00:00:00+00:00,2.0,2.0,3.0,2.0
2024-08-24 00:00:00+00:00,1.0,1.0,,
2024-08-26 00:00:00+00:00,3.0,3.0,,
2024-08-27 00:00:00+00:00,,,12.0,2.0
2024-08-29 00:00:00+00:00,2.0,2.0,2.0,1.0
2024-08-30 00:00:00+00:00,1.0,1.0,,
2024-08-31 00:00:00+00:00,26.0,11.0,25.0,2.0
2024-09-01 00:00:00+00:00,,,1.0,1.0
2024-09-02 00:00:00+00:00,1.0,1.0,,
2024-09-03 00:00:00+00:00,1.0,1.0,,
