time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-10-26 00:00:00+00:00,2,1,5,1
2023-10-28 00:00:00+00:00,0,0,3,1
2023-10-29 00:00:00+00:00,1,1,0,0
2023-10-30 00:00:00+00:00,2,1,2,2
2023-10-31 00:00:00+00:00,0,0,18,3
2023-11-01 00:00:00+00:00,0,0,55,2
2023-11-03 00:00:00+00:00,0,0,1,1
2023-11-04 00:00:00+00:00,2,1,83,1
2023-11-06 00:00:00+00:00,1,1,27,1
2023-11-07 00:00:00+00:00,0,0,15,2
2023-11-08 00:00:00+00:00,0,0,44,6
2023-11-09 00:00:00+00:00,0,0,19,3
2023-11-10 00:00:00+00:00,0,0,1,1
